epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,134.006,1.08123,0.82738,1.28692,0.88555,0.64583,0.72712,0.53765,1.01363,0.74151,1.23682,0.000768802,0.000768802,0.000768802
58,136.095,1.00054,0.8299,1.21836,0.95937,0.64077,0.73455,0.53199,1.01315,0.70822,1.23005,0.000757013,0.000757013,0.000757013
59,138.064,1.06538,0.80815,1.26185,0.7955,0.7002,0.73188,0.52161,1.05191,0.72954,1.29953,0.000745223,0.000745223,0.000745223
60,140.197,1.05679,0.82074,1.29111,0.87033,0.66667,0.71439,0.51379,0.9922,0.64114,1.25258,0.000733434,0.000733434,0.000733434
61,142.155,1.12695,0.79108,1.2946,0.86415,0.7039,0.71997,0.51196,1.05487,0.66826,1.3071,0.000721645,0.000721645,0.000721645
62,144.087,1.05667,0.78947,1.28487,0.89852,0.62109,0.69558,0.48676,1.15035,0.76673,1.37608,0.000709856,0.000709856,0.000709856
63,146.668,1.07527,0.77839,1.30813,0.87822,0.62113,0.69077,0.44739,1.23599,0.78152,1.45761,0.000698066,0.000698066,0.000698066
64,148.912,0.97359,0.78036,1.22749,0.92711,0.625,0.70968,0.47076,1.05726,0.74375,1.34325,0.000686277,0.000686277,0.000686277
65,150.846,1.07637,0.78386,1.26306,0.92861,0.66667,0.72976,0.49944,1.05158,0.64169,1.32399,0.000674488,0.000674488,0.000674488
66,152.848,0.99868,0.73255,1.21743,0.92501,0.66667,0.70994,0.51659,0.98138,0.58983,1.28227,0.000662699,0.000662699,0.000662699
67,154.757,1.02079,0.81906,1.26637,0.95972,0.68463,0.73919,0.5507,0.90244,0.54581,1.18141,0.000650909,0.000650909,0.000650909
68,156.763,1.00662,0.77466,1.22228,0.93163,0.70833,0.7493,0.55949,0.88039,0.54991,1.16575,0.00063912,0.00063912,0.00063912
69,159.284,0.97583,0.71789,1.18262,0.91584,0.71107,0.76739,0.54751,0.86041,0.54766,1.14522,0.000627331,0.000627331,0.000627331
70,161.517,0.96221,0.72743,1.22071,0.94449,0.68538,0.75777,0.56114,0.88178,0.52997,1.14017,0.000615542,0.000615542,0.000615542
71,163.546,1.05008,0.79311,1.26463,0.91208,0.72756,0.75892,0.55447,0.9229,0.55639,1.1723,0.000603752,0.000603752,0.000603752
72,165.738,0.94358,0.67392,1.17605,0.82293,0.74027,0.76007,0.5622,0.95194,0.54689,1.19838,0.000591963,0.000591963,0.000591963
73,167.76,0.93163,0.68469,1.21319,0.87901,0.77051,0.77319,0.56363,0.89612,0.52534,1.17293,0.000580174,0.000580174,0.000580174
74,169.754,0.967,0.73121,1.24943,0.89765,0.75813,0.78304,0.56122,0.8795,0.51993,1.1661,0.000568385,0.000568385,0.000568385
75,172.187,0.97197,0.71399,1.24318,0.88844,0.75,0.78877,0.56497,0.822,0.55294,1.12796,0.000556595,0.000556595,0.000556595
76,174.616,0.99016,0.76207,1.24344,0.92746,0.72579,0.78272,0.57379,0.86689,0.54652,1.14484,0.000544806,0.000544806,0.000544806
77,176.639,0.95905,0.73076,1.23279,0.9507,0.69612,0.77881,0.58737,0.86685,0.52959,1.1468,0.000533017,0.000533017,0.000533017
